Kelas	Prodi
BS1TR-50-REG-01	S1 Teknik Sistem Energi
BS1TR-50-REG-03	S1 Teknik Sistem Energi
BS1TR-50-REG-02	S1 Teknik Sistem Energi
BS1TE-50-REG-06	S1 Teknik Elektro
BS1FA-50-REG-GAB0304	S1 Film
BS1DP-50-REG-GAB0304	S1 Desain Produk
BS1TE-50-REG-07	S1 Teknik Elektro
BS1TK-50-REG-06	S1 Teknik Komputer
BS1TK-50-REG-03	S1 Teknik Komputer
BS1DI-50-REG-GAB0102	S1 Desain Interior
BS1DK-50-REG-GAB0910	S1 Desain Komunikasi Visual
BS1TT-50-REG-07	S1 Teknik Telekomunikasi
PS-49-03	S1 Psikologi
BS1SR-50-REG-0102	S1 Seni Rupa
BS1DK-50-REG-GAB1516	S1 Desain Komunikasi Visual
BS1AB-50-REG-06	S1 Administrasi Bisnis
BS1AB-50-REG-03	S1 Administrasi Bisnis
BS1AB-50-REG-13	S1 Administrasi Bisnis
BS1AB-50-REG-05	S1 Administrasi Bisnis
BS1AB-50-REG-02	S1 Administrasi Bisnis
BS1TF-50-REG-02	S1 Teknik Fisika
BS1TK-50-REG-07	S1 Teknik Komputer
BS1TE-50-REG-02	S1 Teknik Elektro
BS1TT-50-REG-01	S1 Teknik Telekomunikasi
BD3PH-50-REG-02	D3 Perhotelan
BD3PH-50-REG-04	D3 Perhotelan
BS1TT-50-REG-08	S1 Teknik Telekomunikasi
TB-50-04	S1 Teknik Biomedis
BS1TF-50-REG-01	S1 Teknik Fisika
JS1SI-26-REG-06	S1 Sistem Informasi - Kampus Jakarta
JS1SI-26-REG-04	S1 Sistem Informasi - Kampus Jakarta
JS1TT-26-REG-01	S1 Teknik Telekomunikasi - Kampus Jakarta
JS1TT-26-REG-03	S1 Teknik Telekomunikasi - Kampus Jakarta
JS1DKV-26-REG-01	S1 Desain Komunikasi Visual - Kampus Jakarta
JS1SI-26-REG-03	S1 Sistem Informasi - Kampus Jakarta
PS1TE-10-REG-01	S1 Teknik Elektro - Kampus Purwokerto
PS1TP-05-REG-01	S1 Teknologi Pangan - Kampus Purwokerto
PS1TI-10-REG-02	S1 Teknik Industri - Kampus Purwokerto
PS1TI-10-REG-05	S1 Teknik Industri - Kampus Purwokerto
PS1SI-10-REG-01	S1 Sistem Informasi - Kampus Purwokerto
PS1SI-10-REG-02	S1 Sistem Informasi - Kampus Purwokerto
BS1DK-50-REG-GAB0102	S1 Desain Komunikasi Visual
BD3TK-50-REG-01	D3 Teknologi Komputer
BS1KR-50-REG-GAB0304	S1 Kriya
BS1DI-50-REG-GAB0304	S1 Desain Interior
BS1DK-50-REG-GAB1920	S1 Desain Komunikasi Visual
BD4SM-50-REG-03	D4 Teknologi Rekayasa Multimedia
BS1TE-50-REG-01	S1 Teknik Elektro
BS1DK-50-INT-01	S1 Desain Komunikasi Visual (International Class)
BS1DK-50-REG-GAB0506	S1 Desain Komunikasi Visual
BS1AB-50-REG-01-INT	S1 Administrasi Bisnis (International Class)
BS1TE-50-REG-05	S1 Teknik Elektro
